City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
184,Labuhan,ID,-6.8844,112.2051,79.48,84,99,12.1,overcast clouds
185,Waterloo,CA,43.4668,-80.5164,12.99,67,75,21.85,haze
186,Atar,MR,20.5169,-13.0499,75.6,19,0,16.58,clear sky
187,Cayenne,GF,4.9333,-52.3333,82.4,83,90,16.11,overcast clouds
188,Nador,MA,35.174,-2.9287,57.2,72,75,18.41,broken clouds
189,Amarante Do Maranhao,BR,-5.5667,-46.7422,84.67,76,48,1.81,scattered clouds
190,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.4,94,90,5.93,light rain
191,Ilorin,NG,8.5,4.55,97.27,9,61,6.22,broken clouds
192,Whitehorse,CA,60.7161,-135.0538,-11.2,77,90,3.44,light snow
193,Linxia,CN,35.6003,103.2064,31.39,75,14,1.68,few clouds
194,Lompoc,US,34.6391,-120.4579,57.99,87,1,6.91,clear sky
195,Kavaratti,IN,10.5669,72.642,81.5,66,0,6.73,clear sky
196,Tungor,RU,53.3808,142.9564,6.91,94,100,25.97,light snow
197,Tigzirt,DZ,36.8886,4.1198,55.69,76,63,18.61,broken clouds
198,Denpasar,ID,-8.65,115.2167,77.0,94,20,1.14,few clouds
199,Tual,ID,-5.6667,132.75,83.7,78,100,18.28,overcast clouds
200,Lagoa,PT,39.05,-27.9833,57.99,75,100,20.6,overcast clouds
201,Fairbanks,US,64.8378,-147.7164,-14.01,76,1,3.44,clear sky
202,Upernavik,GL,72.7868,-56.1549,18.46,80,18,3.47,few clouds
203,Rotifunk,SL,8.2333,-12.6833,86.83,58,85,10.78,overcast clouds
204,Karasburg,NA,-28.0167,18.75,89.74,11,0,16.28,clear sky
205,Santa Isabel,BR,-23.3156,-46.2214,82.4,61,40,9.22,scattered clouds
206,Mingyue,CN,43.1069,128.9217,1.65,85,22,13.27,few clouds
207,Hamilton,US,39.1834,-84.5333,21.2,53,1,9.22,clear sky
208,Tezu,IN,27.9167,96.1667,61.09,36,0,3.83,clear sky
209,Deputatskiy,RU,69.3,139.9,-30.08,86,0,1.57,clear sky
210,Port Lincoln,AU,-34.7333,135.8667,59.14,81,11,15.95,few clouds
211,Abu Dhabi,AE,24.4667,54.3667,73.4,68,0,5.75,clear sky
212,Fredericksburg,US,38.3032,-77.4605,35.6,93,90,10.36,snow
213,Westlock,CA,54.1502,-113.8688,-45.4,59,9,2.3,clear sky
214,Redcliffe,AU,-27.2307,153.0973,75.2,83,75,12.66,broken clouds
215,Naze,JP,28.3667,129.4833,57.83,64,0,8.81,clear sky
216,Saldanha,ZA,-33.0117,17.9442,69.8,56,0,24.16,clear sky
217,Cidreira,BR,-30.1811,-50.2056,77.05,64,40,11.81,scattered clouds
218,Bafoulabe,ML,13.8065,-10.8321,94.44,10,79,8.7,broken clouds
219,Octeville,FR,49.6261,-1.6435,35.6,69,90,16.11,overcast clouds
220,Batagay,RU,67.6333,134.6333,-30.93,82,0,1.66,clear sky
221,Tiksi,RU,71.6872,128.8694,-28.7,83,75,3.69,broken clouds
222,Mecca,SA,21.4267,39.8261,74.41,31,0,8.59,clear sky
223,Ngunguru,NZ,-35.6167,174.5,59.0,90,80,3.0,broken clouds
224,Port Hardy,CA,50.6996,-127.4199,37.4,93,75,10.36,light rain
225,Maldonado,UY,-34.6667,-54.9167,80.6,54,40,14.97,scattered clouds
226,Souillac,MU,-20.5167,57.5167,80.6,74,20,10.36,few clouds
227,Axim,GH,4.8699,-2.2405,82.78,77,100,8.25,overcast clouds
228,Ancud,CL,-41.8697,-73.8203,80.6,36,0,6.91,clear sky
229,Asau,RO,46.4333,26.4,28.99,74,100,2.73,overcast clouds
230,Sol-Iletsk,RU,51.1631,54.9918,-3.64,91,100,11.21,overcast clouds
